FIPS,GEO_ID,NAME,B19013_001E
12027,0500000US12027,"DeSoto County, Florida",36360
12029,0500000US12029,"Dixie County, Florida",41674
12031,0500000US12031,"Duval County, Florida",56769
12033,0500000US12033,"Escambia County, Florida",53023
12035,0500000US12035,"Flagler County, Florida",57536
12037,0500000US12037,"Franklin County, Florida",48814
12039,0500000US12039,"Gadsden County, Florida",41135
12041,0500000US12041,"Gilchrist County, Florida",47381
12043,0500000US12043,"Glades County, Florida",39709
12045,0500000US12045,"Gulf County, Florida",50640
12047,0500000US12047,"Hamilton County, Florida",38300
12049,0500000US12049,"Hardee County, Florida",40165
12051,0500000US12051,"Hendry County, Florida",36978
12053,0500000US12053,"Hernando County, Florida",50280
12055,0500000US12055,"Highlands County, Florida",43708
12057,0500000US12057,"Hillsborough County, Florida",60566
12059,0500000US12059,"Holmes County, Florida",39215
12061,0500000US12061,"Indian River County, Florida",57945
12063,0500000US12063,"Jackson County, Florida",40754
12065,0500000US12065,"Jefferson County, Florida",49081
12067,0500000US12067,"Lafayette County, Florida",51734
12069,0500000US12069,"Lake County, Florida",55792
12071,0500000US12071,"Lee County, Florida",59608
12073,0500000US12073,"Leon County, Florida",54675
12075,0500000US12075,"Levy County, Florida",38951
12077,0500000US12077,"Liberty County, Florida",39121
12079,0500000US12079,"Madison County, Florida",35240
12081,0500000US12081,"Manatee County, Florida",59963
12083,0500000US12083,"Marion County, Florida",46587
12085,0500000US12085,"Martin County, Florida",65821
12086,0500000US12086,"Miami-Dade County, Florida",53975
12087,0500000US12087,"Monroe County, Florida",72012
12089,0500000US12089,"Nassau County, Florida",72998
12091,0500000US12091,"Okaloosa County, Florida",64373
12093,0500000US12093,"Okeechobee County, Florida",46097
12095,0500000US12095,"Orange County, Florida",61416
12097,0500000US12097,"Osceola County, Florida",55538
12099,0500000US12099,"Palm Beach County, Florida",65015
12101,0500000US12101,"Pasco County, Florida",53431
12103,0500000US12103,"Pinellas County, Florida",56419
12105,0500000US12105,"Polk County, Florida",51535
12107,0500000US12107,"Putnam County, Florida",40068
12109,0500000US12109,"St. Johns County, Florida",83803
12111,0500000US12111,"St. Lucie County, Florida",55237
12113,0500000US12113,"Santa Rosa County, Florida",70663
12115,0500000US12115,"Sarasota County, Florida",64644
12117,0500000US12117,"Seminole County, Florida",70297
12119,0500000US12119,"Sumter County, Florida",59618
12121,0500000US12121,"Suwannee County, Florida",46280
12123,0500000US12123,"Taylor County, Florida",38295
